Dates;Title;Start Time;End Time;Location
08/03/2024;タモリのピクロス [8/13] (Tamori no Picross);8:00;11:00;Broadcast Tower
08/03/2024;Let's Pachinko なんて銀玉１ (Let's Pachinko with Silver Balls 1);11:00;14:00;Broadcast Tower
08/03/2024;ワリオの森: 再び;14:00;17:00;Broadcast Tower
08/03/2024;牧場物語（デモ） (Harvest Moon [Demo]);17:00;20:00;Broadcast Tower
08/03/2024;BSF-ZERO：グランプリ２（練習）[10-23] (BS F-Zero: Grand Prix 2 [Practice]);20:00;23:00;Broadcast Tower
08/03/2024;BSニンテンドーHP [5/17] (Nintendo HP);8:00;23:00;News Building
08/03/2024;Fightingベースボール (Fighting Baseball);11:00;23:00;Stadium
08/03/2024;決戦！ドカポン王国Ⅳ：伝説の勇者たち (Decisive Battle! Dokapon Kingdom IV: Legendary Heroes);8:00;20:00;Bagpotamia Temple
08/03/2024;スーパーぷよぷよツーBS版 (Super Puyo Puyo 2: BS Ver.);8:00;23:00;Telephone Booth
08/04/2024;The Firemen;8:00;11:00;Broadcast Tower
08/04/2024;Darius Force;11:00;14:00;Broadcast Tower
08/04/2024;カービィのおもちゃ箱：　キャノンボール (Kirby's Toybox: Cannon Ball);14:00;17:00;Broadcast Tower
08/04/2024;Super Ninja-Kun;17:00;20:00;Broadcast Tower
08/04/2024;クオンパBS版 [5/31] (Cu-On-Pa BS Version);20:00;23:00;Broadcast Tower
08/04/2024;ポケカメマガジン (Gameboy Camera Magazine);8:00;23:00;News Building
08/04/2024;ゴルフ大好き！O．B．倶楽部 (Golf Daisuki! O.B. Club);11:00;23:00;Stadium
08/04/2024;Broken Sword;8:00;20:00;Bagpotamia Temple
08/04/2024;デザエモン ? BS-X版 (Dezaemon BS-X);8:00;23:00;Telephone Booth
08/05/2024;タモリのピクロス [6/13] (Tamori no Picross);8:00;11:00;Broadcast Tower
08/05/2024;Super Puyo Puyo;11:00;14:00;Broadcast Tower
08/05/2024;カービィのおもちゃ箱：　グルグルボール (Kirby's Toybox: GuruGuru Ball);14:00;17:00;Broadcast Tower
08/05/2024;釣太郎 (Tsuri Tarou);17:00;20:00;Broadcast Tower
08/05/2024;ソニックブラストマン (Sonic Blast Man);20:00;23:00;Broadcast Tower
08/05/2024;グッズプレス(GoodsPress) ? 3月号;8:00;23:00;News Building
08/05/2024;Super Volley II;11:00;23:00;Stadium
08/05/2024;Wizardy V: 差異化の中心;8:00;20:00;Bagpotamia Temple
08/05/2024;Lemmings;8:00;23:00;Telephone Booth
08/06/2024;運だけ３０さめがめ大作戦ーマリオ版 (Mario Same Game);8:00;11:00;Broadcast Tower
08/06/2024;ワリオの森　―　イベント１版 (Wario's Forest ? Event 1);11:00;14:00;Broadcast Tower
08/06/2024;カービィのおもちゃ箱：　星崩し (Kirby's Toybox: Constellation);14:00;17:00;Broadcast Tower
08/06/2024;Super Aleste;17:00;20:00;Broadcast Tower
08/06/2024;BS探偵倶楽部～雪に消えた過去～（前編） [BS Tantei Club ~The Past that Disappeared in the Snow~ (First Part)];20:00;23:00;Broadcast Tower
08/06/2024;虎マガ大作戦 [Tora Maga Daisakusen];8:00;23:00;News Building
08/06/2024;NEW 3D GOLF SIMULATION：ワイアラエの奇跡 (Waialae's Miracle);11:00;23:00;Stadium
08/06/2024;エルファリア２ (Elfaria II);8:00;20:00;Bagpotamia Temple
08/06/2024;マリオペイントBS版 (Mario Paint BS);8:00;23:00;Telephone Booth
08/07/2024;Actraiser;8:00;11:00;Broadcast Tower
08/07/2024;Dr. Mario;11:00;14:00;Broadcast Tower
08/07/2024;カービィのおもちゃ箱：　アレンジボール (Kirby's Toybox: Arrange Ball);14:00;17:00;Broadcast Tower
08/07/2024;クロノトリガー：ジェットバイクスペシャル (Chrono Trigger: Jet Bike Special);17:00;20:00;Broadcast Tower
08/07/2024;怒りの要塞 (Fortress of Anger ? Ikari no Yousai);20:00;23:00;Broadcast Tower
08/07/2024;GAME: 虎の太鼓判 (GAME Tora no Taikoban);8:00;23:00;News Building
08/07/2024;Special Tee Shot;11:00;23:00;Stadium
08/07/2024;アルベルト・オデッセイ (Albert Odyssey);8:00;20:00;Bagpotamia Temple
08/07/2024;？？？;8:00;23:00;？？？ (Ask the NPCs)
08/08/2024;タモリのピクロス [6/26] (Tamori no Picross);8:00;11:00;Broadcast Tower
08/08/2024;スーパーぷよぷよツーREMIX (Super Puyo Puyo 2 REMIX);11:00;14:00;Broadcast Tower
08/08/2024;カービィのおもちゃ箱：　パチンコ (Kirby's Toybox: Pachinko);14:00;17:00;Broadcast Tower
